test,k,pass@k,pass@k,pass@k,pass@k,provider
,,Compile check,Compile check,Functional Correctness,Functional Correctness,
,,Llama-2-codeonly,Llama-2-mix,Llama-2-codeonly,Llama-2-mix,
apigatewayv2_api,1,70.0,70.0,10.0,10.0,aws
apigatewayv2_api,5,100.0,100.0,44.7,44.7,aws
apigatewayv2_api,10,100.0,100.0,76.3,76.3,aws
dynamodb_table,1,0.0,0.0,0.0,0.0,aws
dynamodb_table,5,0.0,0.0,0.0,0.0,aws
dynamodb_table,10,0.0,0.0,0.0,0.0,aws
iam_role,1,90.0,90.0,90.0,90.0,aws
iam_role,5,100.0,100.0,100.0,100.0,aws
iam_role,10,100.0,100.0,100.0,100.0,aws
instance,1,50.0,50.0,50.0,50.0,aws
instance,5,98.4,98.4,98.4,98.4,aws
instance,10,100.0,100.0,100.0,100.0,aws
lambda,1,75.0,75.0,40.0,40.0,aws
lambda,5,100.0,100.0,94.9,94.9,aws
lambda,10,100.0,100.0,100.0,100.0,aws
lambda_hard,1,50.0,50.0,50.0,50.0,aws
lambda_hard,5,98.4,98.4,98.4,98.4,aws
lambda_hard,10,100.0,100.0,100.0,100.0,aws
lb,1,100.0,100.0,0.0,0.0,aws
lb,5,100.0,100.0,0.0,0.0,aws
lb,10,100.0,100.0,0.0,0.0,aws
lb_hard,1,85.0,85.0,10.0,10.0,aws
lb_hard,5,100.0,100.0,44.7,44.7,aws
lb_hard,10,100.0,100.0,76.3,76.3,aws
aws_provider,1,61.9,61.9,61.9,61.9,aws
aws_provider,5,99.7,99.7,99.7,99.7,aws
aws_provider,10,100.0,100.0,100.0,100.0,aws
s3_bucket,1,10.0,10.0,10.0,10.0,aws
s3_bucket,5,50.0,50.0,50.0,50.0,aws
s3_bucket,10,100.0,100.0,100.0,100.0,aws
vpc,1,95.0,95.0,95.0,95.0,aws
vpc,5,100.0,100.0,100.0,100.0,aws
vpc,10,100.0,100.0,100.0,100.0,aws
function_app_hard,1,5.0,5.0,0.0,0.0,azurerm
function_app_hard,5,25.0,25.0,0.0,0.0,azurerm
function_app_hard,10,50.0,50.0,0.0,0.0,azurerm
provider_block_azure,1,55.0,55.0,20.0,20.0,azurerm
provider_block_azure,5,99.2,99.2,71.8,71.8,azurerm
provider_block_azure,10,100.0,100.0,95.7,95.7,azurerm
resource_group,1,55.0,55.0,15.0,15.0,azurerm
resource_group,5,99.2,99.2,60.1,60.1,azurerm
resource_group,10,100.0,100.0,89.5,89.5,azurerm
security_group,1,60.0,60.0,45.0,45.0,azurerm
security_group,5,99.6,99.6,97.0,97.0,azurerm
security_group,10,100.0,100.0,100.0,100.0,azurerm
storage_account,1,35.0,35.0,35.0,35.0,azurerm
storage_account,5,91.7,91.7,91.7,91.7,azurerm
storage_account,10,99.8,99.8,99.8,99.8,azurerm
subnet,1,15.0,15.0,15.0,15.0,azurerm
subnet,5,60.1,60.1,60.1,60.1,azurerm
subnet,10,89.5,89.5,89.5,89.5,azurerm
virtual_network,1,85.0,85.0,55.0,55.0,azurerm
virtual_network,5,100.0,100.0,99.2,99.2,azurerm
virtual_network,10,100.0,100.0,100.0,100.0,azurerm
cloudfunctions2_function,1,100.0,100.0,15.0,15.0,google
cloudfunctions2_function,5,100.0,100.0,60.1,60.1,google
cloudfunctions2_function,10,100.0,100.0,89.5,89.5,google
compute_firewall,1,95.0,95.0,70.0,70.0,google
compute_firewall,5,100.0,100.0,100.0,100.0,google
compute_firewall,10,100.0,100.0,100.0,100.0,google
compute_instance,1,85.0,85.0,85.0,85.0,google
compute_instance,5,100.0,100.0,100.0,100.0,google
compute_instance,10,100.0,100.0,100.0,100.0,google
compute_subnetworks,1,100.0,100.0,5.0,5.0,google
compute_subnetworks,5,100.0,100.0,25.0,25.0,google
compute_subnetworks,10,100.0,100.0,50.0,50.0,google
google_prov_block,1,75.0,75.0,75.0,75.0,google
google_prov_block,5,100.0,100.0,100.0,100.0,google
google_prov_block,10,100.0,100.0,100.0,100.0,google
storage_bucket,1,80.0,80.0,75.0,75.0,google
storage_bucket,5,100.0,100.0,100.0,100.0,google
storage_bucket,10,100.0,100.0,100.0,100.0,google
storage_bucket_website,1,5.0,5.0,0.0,0.0,google
storage_bucket_website,5,25.0,25.0,0.0,0.0,google
storage_bucket_website,10,50.0,50.0,0.0,0.0,google
few_variables,1,100.0,100.0,0.0,0.0,terraform_basics
few_variables,5,100.0,100.0,0.0,0.0,terraform_basics
few_variables,10,100.0,100.0,0.0,0.0,terraform_basics
one_output,1,100.0,100.0,75.0,75.0,terraform_basics
one_output,5,100.0,100.0,100.0,100.0,terraform_basics
one_output,10,100.0,100.0,100.0,100.0,terraform_basics
one_variable,1,75.0,75.0,0.0,0.0,terraform_basics
one_variable,5,100.0,100.0,0.0,0.0,terraform_basics
one_variable,10,100.0,100.0,0.0,0.0,terraform_basics
output_and_variable,1,100.0,100.0,80.0,80.0,terraform_basics
output_and_variable,5,100.0,100.0,100.0,100.0,terraform_basics
output_and_variable,10,100.0,100.0,100.0,100.0,terraform_basics
