test,provider,scores,n,none,c_compile,c_functional,c_almost,c_functional_subset,pass@1_compile,pass@1_func,pass@5_compile,pass@5_func,pass@10_compile,pass@10_func
apigatewayv2_api,aws,3333322333332323331,19,0,1,4,14,0,1.0,0.21052631578947367,1.0,0.7417440660474717,1.0,0.9674922600619195
dynamodb_table,aws,21221022222222122222,20,1,3,16,0,0,0.95,0.7999999999999999,1.0,1.0,1.0,1.0
iam_role,aws,22212222222222222112,20,0,3,17,0,0,1.0,0.85,1.0,1.0,1.0,1.0
instance,aws,22124241412222431122,20,0,5,10,1,4,1.0,0.7,1.0,0.9996130030959752,1.0,1.0
lambda,aws,01220111011111411111,20,3,14,2,0,1,0.85,0.15000000000000002,1.0,0.6008771929824561,1.0,0.8947368421052632
lambda_hard,aws,02020111112022102122,20,5,7,8,0,0,0.75,0.4,0.9999355005159959,0.9489164086687306,1.0,0.9996427720885925
lb,aws,22222222202202224222,20,2,0,17,0,1,0.8999999999999999,0.8999999999999999,1.0,1.0,1.0,1.0
lb_hard,aws,33333333333333333332,20,0,0,1,19,0,1.0,0.44999999999999984,1.0,0.9702012383900929,1.0,0.9999404620147654
aws_provider,aws,00000000000000000000,20,20,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
s3_bucket,aws,0000000002,10,9,0,1,0,0,0.09999999999999998,0.09999999999999998,0.5,0.5,1.0,1.0
vpc,aws,24222222222210222224,20,1,1,16,0,2,0.95,0.8999999999999999,1.0,1.0,1.0,1.0
function_app_hard,azurerm,00000000000000000000,20,20,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
provider_block_azure,azurerm,00000220022042200000,20,13,0,6,0,1,0.3500000000000001,0.3500000000000001,0.9169891640866873,0.9169891640866873,0.9984520123839009,0.9984520123839009
resource_group,azurerm,22222222222222222222,20,0,0,20,0,0,1.0,1.0,1.0,1.0,1.0,1.0
security_group,azurerm,22222222222222222222,20,0,0,20,0,0,1.0,1.0,1.0,1.0,1.0,1.0
storage_account,azurerm,22222222222242222220,20,1,0,18,0,1,0.95,0.95,1.0,1.0,1.0,1.0
subnet,azurerm,11111111111111111112,20,0,19,1,0,0,1.0,0.050000000000000044,1.0,0.25,1.0,0.5
virtual_network,azurerm,22222222222212222221,20,0,2,18,0,0,1.0,0.8999999999999999,1.0,1.0,1.0,1.0
cloudfunctions2_function,google,11111111111111111111,20,0,20,0,0,0,1.0,0.0,1.0,0.0,1.0,0.0
compute_firewall,google,22224221222222242222,20,0,1,17,0,2,1.0,0.95,1.0,1.0,1.0,1.0
compute_instance,google,22222222222222222222,20,0,0,20,0,0,1.0,1.0,1.0,1.0,1.0,1.0
compute_subnetworks,google,22211122212211211221,20,0,9,11,0,0,1.0,0.5499999999999998,1.0,0.9918730650154799,1.0,1.0
google_prov_block,google,00000000000000000000,20,20,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
storage_bucket,google,22212222222222222222,20,0,1,19,0,0,1.0,0.95,1.0,1.0,1.0,1.0
storage_bucket_website,google,12211111112212210121,20,1,12,7,0,0,0.95,0.3500000000000001,1.0,0.9169891640866873,1.0,0.9984520123839009
few_variables,terraform_basics,11111111111111111111,20,0,20,0,0,0,1.0,0.0,1.0,0.0,1.0,0.0
one_output,terraform_basics,22202002220002200022,20,9,0,11,0,0,0.5499999999999998,0.5499999999999998,0.9918730650154799,0.9918730650154799,1.0,1.0
one_variable,terraform_basics,10001000100000000001,20,16,4,0,0,0,0.20000000000000007,0.0,0.7182662538699691,0.0,0.956656346749226,0.0
output_and_variable,terraform_basics,11111111111111111111,20,0,20,0,0,0,1.0,0.0,1.0,0.0,1.0,0.0
