,test,k,pass@k,pass@k,pass@k,pass@k,provider
,,,Compile check,Compile check,Functional Correctness,Functional Correctness,
,,,Llama-2-codeonly,Llama-2-mix,Llama-2-codeonly,Llama-2-mix,
0,apigatewayv2_api,1,100.0,100.0,21.1,21.1,aws
1,apigatewayv2_api,5,100.0,100.0,74.2,74.2,aws
2,apigatewayv2_api,10,100.0,100.0,96.7,96.7,aws
3,dynamodb_table,1,95.0,95.0,80.0,80.0,aws
4,dynamodb_table,5,100.0,100.0,100.0,100.0,aws
5,dynamodb_table,10,100.0,100.0,100.0,100.0,aws
6,iam_role,1,100.0,100.0,85.0,85.0,aws
7,iam_role,5,100.0,100.0,100.0,100.0,aws
8,iam_role,10,100.0,100.0,100.0,100.0,aws
9,instance,1,100.0,100.0,70.0,70.0,aws
10,instance,5,100.0,100.0,100.0,100.0,aws
11,instance,10,100.0,100.0,100.0,100.0,aws
12,lambda,1,85.0,85.0,15.0,15.0,aws
13,lambda,5,100.0,100.0,60.1,60.1,aws
14,lambda,10,100.0,100.0,89.5,89.5,aws
15,lambda_hard,1,75.0,75.0,40.0,40.0,aws
16,lambda_hard,5,100.0,100.0,94.9,94.9,aws
17,lambda_hard,10,100.0,100.0,100.0,100.0,aws
18,lb,1,90.0,90.0,90.0,90.0,aws
19,lb,5,100.0,100.0,100.0,100.0,aws
20,lb,10,100.0,100.0,100.0,100.0,aws
21,lb_hard,1,100.0,100.0,45.0,45.0,aws
22,lb_hard,5,100.0,100.0,97.0,97.0,aws
23,lb_hard,10,100.0,100.0,100.0,100.0,aws
24,aws_provider,1,0.0,0.0,0.0,0.0,aws
25,aws_provider,5,0.0,0.0,0.0,0.0,aws
26,aws_provider,10,0.0,0.0,0.0,0.0,aws
27,s3_bucket,1,10.0,10.0,10.0,10.0,aws
28,s3_bucket,5,50.0,50.0,50.0,50.0,aws
29,s3_bucket,10,100.0,100.0,100.0,100.0,aws
30,vpc,1,95.0,95.0,90.0,90.0,aws
31,vpc,5,100.0,100.0,100.0,100.0,aws
32,vpc,10,100.0,100.0,100.0,100.0,aws
